"taxon","ELEMENT_GLOBAL_ID","indicator"
"Sphagnum magellanicum",686048,0
"Sphagnum magellanicum",686351,0
"Sphagnum magellanicum",688211,0
"Sphagnum magellanicum",683516,0
"Sphagnum magellanicum",684553,0
"Sphagnum magellanicum",684576,0
"Sphagnum magellanicum",685339,0
"Sphagnum magellanicum",687799,0
"Sphagnum magellanicum",685752,0
"Sphagnum magellanicum",688103,0
"Sphagnum magellanicum",689513,0
"Sphagnum magellanicum",736386,0
"Sphagnum magellanicum",736389,0
"Sphagnum magellanicum",686898,0
"Sphagnum magellanicum",686954,0
"Sphagnum magellanicum",800167,0
"Sphagnum magellanicum",800184,0
"Sphagnum magellanicum",800143,0
"Sphagnum magellanicum",689146,0
"Sphagnum magellanicum",898972,0
"Sphagnum magellanicum",899410,0
"Sphagnum magellanicum",899888,0
"Sphagnum magellanicum",899497,0
"Sphagnum magellanicum",899059,0
"Sphagnum magellanicum",899571,0
"Sphagnum magellanicum",899606,0
"Sphagnum magellanicum",907535,0
"Sphagnum magellanicum",948696,0
"Sphagnum magellanicum",948485,0
"Sphagnum magellanicum",948589,0
"Sphagnum magellanicum",1179665,0
"Sphagnum magellanicum",1146926,0
"Sphagnum magellanicum",1131907,0
"Sphagnum magellanicum",1159155,0
"Racomitrium canescens",683562,0
"Racomitrium canescens",860408,0
"Racomitrium canescens",685627,0
"Racomitrium canescens",686676,0
"Racomitrium canescens",860492,0
"Racomitrium canescens",860511,0
"Racomitrium canescens",899791,0
"Racomitrium canescens",899839,0
"Racomitrium canescens",1222795,0
"Racomitrium canescens",1222803,0
"Racomitrium canescens",1222805,0
"Racomitrium canescens",1222787,0
"Racomitrium canescens",1222841,0
"Brothera leana",685146,0
"Mnium hornum",689899,0
"Mnium hornum",688921,0
"Ptychostomum pseudotriquetrum",899657,0
"Sphagnum teres",689508,0
"Sphagnum teres",1146920,0
"Sphagnum teres",684576,0
"Sphagnum teres",1176983,0
"Sphagnum teres",1361912,0
"Sphagnum teres",1299044,0
"Rhytidiopsis robusta",788005,0
"Rhytidiopsis robusta",787600,0
"Rhytidiopsis robusta",942428,0
"Polytrichadelphus lyallii",899884,0
"Pleurochaete squarrosa",688370,0
"Pleurochaete squarrosa",687829,0
"Pleurochaete squarrosa",688844,0
"Pleurochaete squarrosa",899397,0
"Dichelyma uncinatum",683991,0
"Plagiomnium cuspidatum",683622,0
"Plagiomnium cuspidatum",687144,0
"Plagiomnium cuspidatum",687179,0
"Plagiomnium cuspidatum",688675,0
"Gymnostomum aeruginosum",687412,0
"Sphagnum imbricatum",689442,0
"Sphagnum imbricatum",689331,0
"Sphagnum imbricatum",684727,0
"Sphagnum imbricatum",899505,0
"Sphagnum imbricatum",899507,0
"Sphagnum imbricatum",899606,0
"Plagiothecium denticulatum",688921,0
"Loeskeobryum brevirostre",683622,0
"Loeskeobryum brevirostre",688921,0
"Dicranum undulatum",683517,0
"Dicranum undulatum",686533,0
"Dicranum undulatum",685818,0
"Dicranum undulatum",899888,0
"Drepanocladus aduncus",690011,0
"Drepanocladus aduncus",685066,0
"Drepanocladus aduncus",688961,0
"Drepanocladus aduncus",899657,0
"Drepanocladus aduncus",1283084,0
"Rhytidiadelphus loreus",684062,0
"Rhytidiadelphus loreus",684376,0
"Rhytidiadelphus loreus",684079,0
"Rhytidiadelphus loreus",686607,0
"Rhytidiadelphus loreus",686625,0
"Rhytidiadelphus loreus",777931,0
"Rhytidiadelphus loreus",777940,0
"Rhytidiadelphus loreus",788005,0
"Rhytidiadelphus loreus",791945,0
"Rhytidiadelphus loreus",787973,0
"Rhytidiadelphus loreus",787600,0
"Rhytidiadelphus loreus",899662,0
"Hedwigia ciliata",683348,0
"Hedwigia ciliata",683622,0
"Hedwigia ciliata",684217,0
"Hedwigia ciliata",835678,0
"Brachydontium trichodes",687447,0
"Campylopus tallulensis",835678,0
"Polytrichum juniperinum",683348,0
"Polytrichum juniperinum",683072,0
"Polytrichum juniperinum",685487,0
"Polytrichum juniperinum",686533,0
"Polytrichum juniperinum",685731,0
"Polytrichum juniperinum",688606,0
"Polytrichum juniperinum",686934,0
"Polytrichum juniperinum",689532,0
"Polytrichum juniperinum",684217,0
"Polytrichum juniperinum",860355,0
"Polytrichum juniperinum",688719,0
"Polytrichum juniperinum",686595,0
"Polytrichum juniperinum",849141,0
"Polytrichum juniperinum",800158,0
"Polytrichum juniperinum",899158,0
"Polytrichum juniperinum",899665,0
"Polytrichum juniperinum",899884,0
"Polytrichum juniperinum",931854,0
"Polytrichum juniperinum",932947,0
"Polytrichum juniperinum",1150959,0
"Polytrichum juniperinum",1150957,0
"Polytrichum juniperinum",1150949,0
"Aulacomnium acuminatum",687913,0
"Aulacomnium acuminatum",1344241,0
"Sphagnum subnitens",1299043,0
"Scorpidium revolvens",1041690,0
"Scorpidium revolvens",1344228,0
"Andreaea blyttii",1041690,0
"Andreaea blyttii",1344228,0
"Cratoneuron filicinum",899657,0
"Polytrichum sexangulare",899460,0
"Dicranodontium denudatum",689733,0
"Anomodon attenuatus",683622,0
"Anomodon attenuatus",685695,0
"Anomodon attenuatus",688921,0
"Anomodon attenuatus",683695,0
"Anomodon attenuatus",878639,0
"Anomodon attenuatus",905014,0
"Anomodon attenuatus",1159199,0
"Tortella arctica",899130,0
"Dicranum polysetum",684832,0
"Dicranum polysetum",684967,0
"Dicranum polysetum",683437,0
"Dicranum polysetum",683077,0
"Dicranum polysetum",684099,0
"Dicranum polysetum",683517,0
"Dicranum polysetum",684245,0
"Dicranum polysetum",686533,0
"Dicranum polysetum",685731,0
"Dicranum polysetum",685740,0
"Dicranum polysetum",685756,0
"Dicranum polysetum",689094,0
"Dicranum polysetum",688375,0
