"taxon","ELEMENT_GLOBAL_ID","indicator"
"Juniperus",689545,1
"Juniperus",689765,1
"Juniperus",683773,1
"Juniperus",683963,1
"Juniperus",683173,1
"Juniperus",687856,1
"Juniperus",688864,1
"Juniperus",683747,1
"Juniperus",684371,1
"Juniperus",686507,1
"Juniperus",688400,1
"Juniperus",686645,1
"Juniperus",687705,1
"Juniperus",946476,1
"Juniperus",686293,1
"Juniperus",685257,1
"Juniperus",791624,1
"Juniperus",683548,1
"Juniperus",683177,1
"Juniperus",690045,1
"Juniperus",683806,1
"Juniperus",685724,1
"Juniperus",687434,1
"Juniperus",689376,1
"Juniperus",1222875,1
"Juniperus",1284849,1
"Juniperus",687017,1
"Juniperus",684557,1
"Juniperus",690100,1
"Juniperus",687276,1
"Juniperus",685291,1
"Juniperus",1302461,1
"Juniperus",687085,1
"Juniperus",688224,1
"Juniperus",685212,1
"Juniperus",972072,1
"Juniperus",972144,1
"Juniperus",972076,1
"Juniperus",684044,1
"Juniperus",685797,1
"Juniperus",689233,1
"Juniperus",689616,1
"Juniperus",684467,1
"Juniperus",684845,1
"Juniperus",688650,1
"Juniperus",686940,1
"Juniperus",683819,1
"Juniperus",689057,1
"Juniperus",683353,1
"Juniperus",685318,1
"Juniperus",685846,1
"Juniperus",689752,1
"Juniperus",688207,1
"Juniperus",684574,1
"Sequoia",833256,1
"Sequoia",899527,1
"Sequoia",690080,1
"Sequoia",1277513,1
"Sequoia",1277505,1
"Sequoia",1277509,1
"Sequoia",1277519,1
"Sequoia",1277515,1
"Sequoia",1277511,1
"Sequoia",688496,1
"Sequoia",683893,1
"Sequoia",1277507,1
"Sequoiadendron",935195,1
"Sequoiadendron",685682,1
"Sequoiadendron",685517,1
"Taxodium",838855,1
"Taxodium",838755,1
"Taxodium",833243,1
"Taxodium",836976,1
"Taxodium",833240,1
"Taxodium",905730,1
"Taxodium",1279636,1
"Taxodium",899464,1
"Taxodium",1268555,1
"Taxodium",1279634,1
"Taxodium",899653,1
"Taxodium",898981,1
"Taxodium",899009,1
"Taxodium",899733,1
"Taxodium",687780,1
"Taxodium",690066,1
"Taxodium",684094,1
"Taxodium",689480,1
"Taxodium",685765,1
"Taxodium",685008,1
"Taxodium",689126,1
"Taxodium",688901,1
"Taxodium",688101,1
"Taxodium",688203,1
"Taxodium",686119,1
"Taxodium",686630,1
"Taxodium",732831,1
"Taxodium",732872,1
"Taxodium",732800,1
"Taxodium",684982,1
"Taxodium",688640,1
"Taxodium",687749,1
"Taxodium",686969,1
"Taxodium",684814,1
"Taxodium",683580,1
"Taxodium",684162,1
"Taxodium",685447,1
"Taxodium",688856,1
"Taxodium",689084,1
"Taxodium",688741,1
"Taxodium",684401,1
"Taxodium",856875,1
"Taxodium",684897,1
"Taxodium",731157,1
"Taxodium",820682,1
"Taxodium",689572,1
"Taxodium",689271,1
"Taxodium",687430,1
"Taxodium",687042,1
"Taxodium",685471,1
"Taxodium",683873,1
"Taxodium",687855,1
"Taxodium",687351,1
"Taxodium",685713,1
"Taxodium",689198,1
"Taxodium",686827,1
"Taxodium",688700,1
"Taxodium",686425,1
"Taxodium",684491,1
"Taxodium",683896,1
"Taxodium",684718,1
"Taxodium",683252,1
"Taxodium",686711,1
"Taxodium",689839,1
"Taxodium",685099,1
"Taxodium",688542,1
"Taxodium",688939,1
"Taxodium",685806,1
"Taxodium",867532,1
"Taxodium",687708,1
"Taxodium",688972,1
"Taxodium",928265,1
"Taxodium",687663,1
"Taxodium",685925,1
"Taxodium",685313,1
"Taxodium",868705,1
"Taxodium",683494,1
"Taxodium",820688,1
"Taxodium",684031,1
"Taxodium",684595,1
"Taxodium",689536,1
"Taxodium",687764,1
"Taxodium",684586,1
"Taxodium",686008,1
"Taxodium",687026,1
"Taxodium",687895,1
"Taxodium",685639,1
"Thuja",877289,1
"Thuja",860509,1
"Thuja",877335,1
"Thuja",836672,1
"Thuja",836789,1
"Thuja",849242,1
"Thuja",899965,1
"Thuja",1150939,1
"Thuja",899897,1
"Thuja",899420,1
"Thuja",1150937,1
"Thuja",899667,1
"Thuja",899663,1
"Thuja",899668,1
"Thuja",899669,1
"Thuja",899670,1
"Thuja",899671,1
"Thuja",1361914,1
"Thuja",1159157,1
"Thuja",1159151,1
"Thuja",1159153,1
"Thuja",1225219,1
"Thuja",899828,1
"Thuja",1268703,1
"Thuja",688765,1
"Thuja",686389,1
"Thuja",683433,1
"Thuja",688684,1
"Thuja",687178,1
"Thuja",687179,1
"Thuja",687513,1
"Thuja",689622,1
"Thuja",686355,1
"Thuja",683517,1
"Thuja",787981,1
"Thuja",1222857,1
"Thuja",689671,1
"Thuja",787986,1
"Thuja",787997,1
"Thuja",1222825,1
"Thuja",683519,1
"Thuja",685170,1
"Thuja",942472,1
"Thuja",979481,1
"Thuja",942473,1
"Thuja",687346,1
"Thuja",1222833,1
"Thuja",777931,1
"Thuja",979436,1
"Thuja",979439,1
"Thuja",787973,1
"Thuja",777940,1
"Thuja",687857,1
"Thuja",684661,1
"Thuja",688335,1
"Thuja",732581,1
"Thuja",687307,1
"Thuja",683916,1
"Thuja",688817,1
"Thuja",685134,1
"Thuja",683297,1
"Thuja",685023,1
"Thuja",690045,1
"Thuja",689376,1
"Thuja",685813,1
"Thuja",687642,1
"Thuja",685970,1
"Thuja",690049,1
"Thuja",689044,1
"Thuja",689486,1
"Thuja",686709,1
"Thuja",688278,1
"Thuja",688456,1
"Thuja",683188,1
"Thuja",686037,1
"Thuja",1252904,1
"Thuja",687029,1
"Thuja",684759,1
"Thuja",683293,1
"Thuja",732586,1
"Thuja",683077,1
"Thuja",787992,1
"Thuja",979484,1
"Thuja",1228073,1
"Thuja",979552,1
"Thuja",688908,1
"Thuja",683415,1
"Thuja",688620,1
"Thuja",688913,1
"Thuja",689327,1
"Ephedra",860416,1
"Ephedra",837244,1
"Ephedra",835924,1
"Ephedra",857406,1
"Ephedra",899264,1
"Ephedra",941888,1
"Ephedra",971941,1
"Ephedra",899217,1
"Ephedra",899208,1
"Ephedra",899325,1
"Ephedra",900101,1
"Ephedra",899368,1
"Ephedra",1270946,1
"Ephedra",1270944,1
"Ephedra",943935,1
"Ephedra",769203,1
"Ephedra",769206,1
"Ephedra",964291,1
"Ephedra",686446,1
"Ephedra",841144,1
"Ephedra",840562,1
"Ephedra",840565,1
"Ephedra",971673,1
"Ephedra",971676,1
"Ephedra",688960,1
"Ephedra",686104,1
"Ephedra",971684,1
"Ephedra",877206,1
"Ephedra",686968,1
"Ephedra",687541,1
"Ephedra",840602,1
"Ephedra",683696,1
"Ephedra",971776,1
"Ephedra",971789,1
"Ephedra",686053,1
