"acgenus","actaxon","acauth","taxon","auth"
"Pseudocrossidium","Pseudocrossidium crinitum","(Schultz) R.H.Zander","Tortula aurea","E.B.Bartram"
"Scapania","Scapania paludicola var. paludicola","","Scapania paludicola var. paludicola",""
"Schistidium","Schistidium tenerum","(J.E.Zetterst.) Nyholm","Schistidium tenerum","(J.E.Zetterst.) Nyholm"
"Campylopus","Campylopus laxitextus","Sande Lac.","Campylopus laxitextus","Sande Lac."
"Ptychostomum","Ptychostomum wrightii","(Sull. & Lesq.) J.R.Spence","Bryum wrightii","Sull. & Lesq."
"Ditrichum","Ditrichum pallidum","(Hedw.) Hampe","Ditrichum pallidum","(Hedw.) Hampe"
"Bryum","Bryum delitescens","Cardot","Bryum delitescens","Cardot"
"Bruchia","Bruchia hallii","Austin","Bruchia hallii","Austin"
"Schljakovia","Schljakovia kunzeana","(Huebener) Konstant. & Vilnet","Barbilophozia kunzeana","(Huebener) Müll.Frib."
"Palustriella","Palustriella falcata","(Brid.) Hedenäs","Cratoneuron commutatum var. falcatum","(Brid.) Mönk."
"Braunia","Braunia plicata","(Mitt.) A.Jaeger","Braunia plicata","(Mitt.) A.Jaeger"
"Alleniella","Alleniella besseri","(Lobarz.) S.Olsson, Enroth & D.Quandt","Neckera besseri","(Lobarz.) Jur."
"Macromitrium","Macromitrium angulatum","Mitt.","Macromitrium angulatum","Mitt."
"Peltolepis","Peltolepis quadrata","(Saut.) Müll.Frib.","Peltolepis quadrata","(Saut.) Müll.Frib."
"Tortula","Tortula porteri","(James) Broth.","Desmatodon fisherae","H.A.Crum"
"Phaeomegaceros","Phaeomegaceros skottsbergii","(Steph.) R.J.Duff, J.C.Villarreal, Cargill & Renzaglia","Phaeomegaceros skottsbergii","(Steph.) R.J.Duff, J.C.Villarreal, Cargill & Renzaglia"
"Holomitrium","Holomitrium tortuosum","Mitt.","Holomitrium tortuosum","Mitt."
"Porotrichum","Porotrichum tenuinerve","B.H.Allen","Porotrichum tenuinerve","B.H.Allen"
"Radula","Radula obscura","Mitt.","Radula obscura","Mitt."
"Schizymenium","Schizymenium fusiferum","(Mitt.) A.J.Shaw","Schizymenium fusiferum","(Mitt.) A.J.Shaw"
"Mittenothamnium","Mittenothamnium simorhynchum","(Hampe) Cardot","Mittenothamnium simorhynchum","(Hampe) Cardot"
"Chionoloma","Chionoloma recurvifolium","(Taylor) M.Alonso, M.J.Cano & J.A.Jiménez","Paraleptodontium recurvifolium","(Taylor) D.G.Long"
"Fissidens","Fissidens taxifolius","Hedw.","Fissidens taxifolius ssp. taxifolius",""
"Mironia","Mironia stenotheca","(Thér.) R.H.Zander","Mironia stenotheca","(Thér.) R.H.Zander"
"Micropterygium","Micropterygium lechleri","Reimers","Micropterygium lechleri","Reimers"
"Thamniopsis","Thamniopsis glandulifera","(Hampe) B.H.Allen","Thamniopsis glandulifera","(Hampe) B.H.Allen"
"Plagiochila","Plagiochila validissima","Steph.","Plagiochila validissima","Steph."
"Neckera","Neckera praelonga","Lorentz","Neckera praelonga","Lorentz"
"Schizymenium","Schizymenium serratum","(Cardot & Herzog) A.J.Shaw","Schizymenium serratum","(Cardot & Herzog) A.J.Shaw"
"Sclerodontium","Sclerodontium pallidum ssp. pallidum","","Sclerodontium pallidum ssp. pallidum",""
"Hypnella","Hypnella symphyodontoides","Vilas Bôas-Bastos","Hypnella symphyodontoides","Vilas Bôas-Bastos"
"Timmia","Timmia sphaerocarpa","Y.Jia & Yang Liu bis","Timmia sphaerocarpa","Y.Jia & Yang Liu bis"
"Isopterygium","Isopterygium pallidulum","(Mitt.) A.Jaeger","Isopterygium pallidulum","(Mitt.) A.Jaeger"
"Brachydontium","Brachydontium trichodes","(F.Weber) Milde","Brachyodon trichodes","(F.Weber) Fürnr. ex Nees & Hornsch."
"Leiomela","Leiomela brachyphylla","(Müll.Hal.) Broth.","Leiomela brachyphylla","(Müll.Hal.) Broth."
"Frullania","Frullania eymae","S.Hatt.","Frullania eymae","S.Hatt."
"Syrrhopodon","Syrrhopodon erubescens","E.B.Bartram","Syrrhopodon erubescens","E.B.Bartram"
"Lejeunea","Lejeunea malaysiana","G.E.Lee & Pócs","Lejeunea malaysiana","G.E.Lee & Pócs"
"Odontoschisma","Odontoschisma spinosum","(Fulford) Gradst., S.C.Aranda & Vanderp.","Odontoschisma spinosum","(Fulford) Gradst., S.C.Aranda & Vanderp."
"Plagiochila","Plagiochila trabutii","Steph.","Plagiochila trabutii","Steph."
"Dicranoloma","Dicranoloma bartramianum","(B.H.Allen) Klazenga","Dicranoloma bartramianum","(B.H.Allen) Klazenga"
"Plagiochila","Plagiochila boivinii","Steph.","Plagiochila boivinii","Steph."
"Stephaniella","Stephaniella boliviensis","Steph.","Stephaniella boliviensis","Steph."
"Lophocolea","Lophocolea ledermannii","Steph.","Lophocolea ledermannii","Steph."
"Stereodon","Stereodon holmenii","(Ando) Ignatov & Ignatova","Stereodon holmenii","(Ando) Ignatov & Ignatova"
"Fossombronia","Fossombronia leucoxantha","(Lehm.) Lehm. & Lindenb.","Fossombronia leucoxantha","(Lehm.) Lehm. & Lindenb."
"Heteroscyphus","Heteroscyphus saccogynoides","Herzog","Heteroscyphus saccogynoides","Herzog"
"Schistidium","Schistidium olivaceum","(Herzog) Ochyra & J.Muñoz","Schistidium olivaceum","(Herzog) Ochyra & J.Muñoz"
"Funaria","Funaria schnyderi","Müll.Hal.","Funaria schnyderi","Müll.Hal."
"Prionolejeunea","Prionolejeunea limpida","Herzog","Prionolejeunea limpida","Herzog"
"Ectropothecium","Ectropothecium laxirete","Dixon","Ectropothecium laxirete","Dixon"
"Leptodictyum","Leptodictyum riparium","(Hedw.) Warnst.","Amblystegium riparium","(Hedw.) B.S.G."
"Lewinskya","Lewinskya pseudoaffinis","Vigalondo, F.Lara & Garilleti","Lewinskya pseudoaffinis","Vigalondo, F.Lara & Garilleti"
"Gollania","Gollania homalothecioides","Higuchi & P.C.Wu","Gollania homalothecioides","Higuchi & P.C.Wu"
"Metzgeria","Metzgeria adscendens","Steph. ex K.I.Goebel","Metzgeria adscendens","Steph. ex K.I.Goebel"
"Tortella","Tortella goniospora","(Müll.Hal.) R.H.Zander","Tortella goniospora","(Müll.Hal.) R.H.Zander"
"Trichosteleum","Trichosteleum fuscescens","D.H.Norris & T.J.Kop.","Trichosteleum fuscescens","D.H.Norris & T.J.Kop."
"Barbula","Barbula semirosulata","R.H.Zander","Barbula semirosulata","R.H.Zander"
"Isopterygium","Isopterygium assamicum","(Mitt.) A.Jaeger","Isopterygium assamicum","(Mitt.) A.Jaeger"
"Solenostoma","Solenostoma atrobrunneum","(Amakawa) Váňa & D.G.Long","Solenostoma atrobrunneum","(Amakawa) Váňa & D.G.Long"
"Entodon","Entodon corbierei","Renauld & Cardot","Entodon corbierei","Renauld & Cardot"
"Fissidens","Fissidens chiricahuensis","Pursell & B.H.Allen","Fissidens chiricahuensis","Pursell & B.H.Allen"
"Vesicularia","Vesicularia alboviridis","(Renauld) Broth.","Vesicularia alboviridis","(Renauld) Broth."
"Tuyamaella","Tuyamaella molischii var. taiwanensis","R.L.Zhu & M.L.So","Tuyamaella molischii var. taiwanensis","R.L.Zhu & M.L.So"
"Mielichhoferia","Mielichhoferia striidens","Müll.Hal.","Mielichhoferia striidens","Müll.Hal."
"Drepanocladus","Drepanocladus jacuticus","Ignatov & Ignatova","Drepanocladus jacuticus","Ignatov & Ignatova"
"Ptychomitrium","Ptychomitrium helenicum","(Mitt.) Paris","Ptychomitrium helenicum","(Mitt.) Paris"
"Polytrichum","Polytrichum longisetum","Sw. ex Brid.","Polytrichum longisetum","Sw. ex Brid."
"Calypogeia","Calypogeia suecica","(Arnell & J.Perss.) Müll.Frib.","Calypogeia suecica","(Arnell & J.Perss.) Müll.Frib."
"Fossombronia","Fossombronia incurva","Lindb.","Fossombronia incurva","Lindb."
"Campylophyllopsis","Campylophyllopsis calcarea","(Crundw. & Nyholm) Ochyra","Campylophyllopsis calcarea","(Crundw. & Nyholm) Ochyra"
"Racomitrium","Racomitrium lanuginosum","(Hedw.) Brid.","Racomitrium lanuginosum","(Hedw.) Brid."
"Phaeoceros","Phaeoceros laevis","(L.) Prosk.","Anthoceros miyakeanus","Schiffn."
"Scopelophila","Scopelophila cataractae","(Mitt.) Broth.","Tortula williamsii","E.B.Bartram"
"Syzygiella","Syzygiella autumnalis","(DC.) K.Feldberg, Váňa, Hentschel & Heinrichs","Jamesoniella autumnalis","(DC.) Steph."
"Hygroamblystegium","Hygroamblystegium humile","(P.Beauv.) Vanderp., Hedenäs & Goffinet","Leptodictyum trichopodium","(Schultz) Warnst."
"Orthotrichum","Orthotrichum hallii","Sull. & Lesq.","Orthotrichum hallii","Sull. & Lesq."
"Trachythecium","Trachythecium verrucosum","(A.Jaeger) M.Fleisch.","Trachythecium verrucosum","(A.Jaeger) M.Fleisch."
"Gemmabryum","Gemmabryum coronatum","(Schwägr.) J.R.Spence & H.P.Ramsay","Gemmabryum coronatum","(Schwägr.) J.R.Spence & H.P.Ramsay"
"Frullania","Frullania mayebarae","S.Hatt.","Frullania mayebarae","S.Hatt."
"Acroporium","Acroporium procerum","(Müll.Hal.) M.Fleisch.","Acroporium procerum","(Müll.Hal.) M.Fleisch."
"Geheebia","Geheebia tophacea","(Brid.) R.H.Zander","Husnotiella pringlei","(Cardot) Grout"
"Syntrichia","Syntrichia minor","(Bizot) M.T.Gallego, J.Guerra, M.J.Cano, Ros & Sánchez-Moya","Syntrichia minor","(Bizot) M.T.Gallego, J.Guerra, M.J.Cano, Ros & Sánchez-Moya"
"Lophoziopsis","Lophoziopsis jurensis","(Meyl. ex Müll.Frib.) Mamontov & Vilnet","Lophozia latifolia","R.M.Schust."
"Bucklandiella","Bucklandiella curiosissima","(Bedn.-Ochyra & Ochyra) Bedn.-Ochyra & Ochyra","Bucklandiella curiosissima","(Bedn.-Ochyra & Ochyra) Bedn.-Ochyra & Ochyra"
"Tayloria","Tayloria rudolphiana","(Garov.) Bruch & Schimp.","Tayloria rudolphiana","(Garov.) Bruch & Schimp."
"Calyptothecium","Calyptothecium extensum","M.Fleisch.","Calyptothecium extensum","M.Fleisch."
"Lepidozia","Lepidozia brevifolia","Mitt.","Lepidozia brevifolia","Mitt."
"Acromastigum","Acromastigum anisostomum","(Lehm. & Lindenb.) A.Evans","Acromastigum anisostomum","(Lehm. & Lindenb.) A.Evans"
"Jochenia","Jochenia pallescens","(Hedw.) Hedenäs, Schlesak & D.Quandt","Hypnum reptile","Michx."
"Lejeunea","Lejeunea drummondii","Taylor","Lejeunea drummondii","Taylor"
"Lophoziopsis","Lophoziopsis rubrigemma","(R.M.Schust.) Konstant. & Vilnet","Lophozia rubrigemma","R.M.Schust."
"Lindbergia","Lindbergia brachyptera","(Mitt.) Kindb.","Lindbergia brachyptera","(Mitt.) Kindb."
"Callicladium","Callicladium fujiyamae","(Broth.) Jan Kučera & Ignatov","Hypnum fujiyamae","(Broth.) Paris"
"Fissidens","Fissidens sufflatus","I.G.Stone","Fissidens sufflatus","I.G.Stone"
"Syntrichia","Syntrichia cavallii","(G.Negri) Ochyra","Syntrichia cavallii","(G.Negri) Ochyra"
"Sphagnum","Sphagnum torreyanum","Sull.","Sphagnum torreyanum","Sull."
"Telaranea","Telaranea breviseta","(Herzog) J.J.Engel & G.L.Merr.","Telaranea breviseta","(Herzog) J.J.Engel & G.L.Merr."
"Chorisodontium","Chorisodontium dicranellatum","(Dusén) Roiv.","Chorisodontium dicranellatum","(Dusén) Roiv."
"Bryum","Bryum russulum","Broth. & Geh.","Bryum russulum","Broth. & Geh."
"Marchantia","Marchantia wallisii","J.B.Jack & Steph.","Marchantia wallisii","J.B.Jack & Steph."
"Weissia","Weissia brachycarpa","(Nees & Hornsch.) Jur.","Weissia hedwigii","H.A.Crum"
"Rhytidiadelphus","Rhytidiadelphus subpinnatus","(Lindb.) T.J.Kop.","Rhytidiadelphus calvescens","(Lindb.) Broth."
"Macromitrium","Macromitrium gigasporum","Herzog","Macromitrium gigasporum","Herzog"
"Diplasiolejeunea","Diplasiolejeunea villaumei","Steph.","Diplasiolejeunea villaumei","Steph."
"Symphyogyna","Symphyogyna marginata","Steph.","Symphyogyna marginata","Steph."
"Orthodicranum","Orthodicranum tauricum","(Sapjegin) Smirnova","Dicranum tauricum","Sapehin"
"Fissidens","Fissidens daltoniifolius","Müll.Hal.","Fissidens daltoniifolius","Müll.Hal."
"Cololejeunea","Cololejeunea micronesica","H.A.Mill. & Bonner","Cololejeunea micronesica","H.A.Mill. & Bonner"
"Dicranella","Dicranella rufiseta","E.B.Bartram","Dicranella rufiseta","E.B.Bartram"
"Weissia","Weissia brachypoma","C.C.Towns.","Weissia brachypoma","C.C.Towns."
"Fissidens","Fissidens curvatus ssp. sanctae-helenae","Brugg.-Nann. & M.Wigginton","Fissidens curvatus ssp. sanctae-helenae","Brugg.-Nann. & M.Wigginton"
"Cololejeunea","Cololejeunea sintenisii","(Steph.) Pócs","Cololejeunea sintenisii","(Steph.) Pócs"
"Metzgeria","Metzgeria agnewiae","Kuwah.","Metzgeria agnewiae","Kuwah."
"Fossombronia","Fossombronia ruminata","Cargill","Fossombronia ruminata","Cargill"
"Schistidium","Schistidium leptoneurum","Ochyra","Schistidium leptoneurum","Ochyra"
"Cephaloziella","Cephaloziella tenuissima","(Lehm.) Steph.","Cephaloziella tenuissima","(Lehm.) Steph."
"Ectropothecium","Ectropothecium haplocladum","Cardot","Ectropothecium haplocladum","Cardot"
"Wilsoniella","Wilsoniella crispidens","Müll.Hal. ex Broth.","Wilsoniella crispidens","Müll.Hal. ex Broth."
"Cephaloziella","Cephaloziella rubella","(Nees) Schiffn.","Cephaloziella minima","(Austin ex Pearson) Douin"
"Leucoloma","Leucoloma limbatulum","Besch.","Leucoloma limbatulum","Besch."
"Ceratolejeunea","Ceratolejeunea oculata","(Gottsche) Steph.","Ceratolejeunea oculata","(Gottsche) Steph."
"Zoopsis","Zoopsis bicruris","Glenny & E.A.Br.","Zoopsis bicruris","Glenny & E.A.Br."
"Vesicularia","Vesicularia immutata","Dixon","Vesicularia immutata","Dixon"
"Syrrhopodon","Syrrhopodon flexifolius ssp. reunionensis","L.T.Ellis","Syrrhopodon flexifolius ssp. reunionensis","L.T.Ellis"
"Pohlia","Pohlia nevadensis","(Müll.Hal.) Broth.","Pohlia nevadensis","(Müll.Hal.) Broth."
"Taxithelium","Taxithelium andongense","A.Gepp","Taxithelium andongense","A.Gepp"
"Pilotrichopsis","Pilotrichopsis robusta","P.C.Chen","Pilotrichopsis robusta","P.C.Chen"
"Ectropothecium","Ectropothecium japonicum","Broth.","Ectropothecium japonicum","Broth."
"Philonotis","Philonotis buckii","D.G.Griffin","Philonotis buckii","D.G.Griffin"
"Brachythecium","Brachythecium cirrosum","(Schwägr.) Schimp.","Brachythecium cirrosum","(Schwägr.) Grout"
"Fissidens","Fissidens leptopelma","Dixon","Fissidens leptopelma","Dixon"
"Leucobryum","Leucobryum aduncum var. teysmannianum","(Dozy & Molk.) T.Yamag.","Leucobryum aduncum var. teysmannianum","(Dozy & Molk.) T.Yamag."
"Tortula","Tortula panduraefolia","(Müll.Hal. & Hampe) Broth.","Tortula panduraefolia","(Müll.Hal. & Hampe) Broth."
"Racopilum","Racopilum thomeanum","Broth.","Racopilum thomeanum","Broth."
"Trichosteleum","Trichosteleum subscabrisetulum","(Müll.Hal.) A.Jaeger","Trichosteleum subscabrisetulum","(Müll.Hal.) A.Jaeger"
"Chiastocaulon","Chiastocaulon raetzelii","Frank Müll.","Chiastocaulon raetzelii","Frank Müll."
"Ceratolejeunea","Ceratolejeunea sublaetefusca","Heinrichs, Pócs & Schäf.-Verw.","Ceratolejeunea sublaetefusca","Heinrichs, Pócs & Schäf.-Verw."
"Frullania","Frullania echinatella","S.Hatt.","Frullania echinatella","S.Hatt."
"Buxbaumia","Buxbaumia aphylla","Hedw.","Buxbaumia aphylla","Hedw."
"Ptychostomum","Ptychostomum pallescens","(Schleich. ex Schwägr.) J.R.Spence","Ptychostomum pallescens","(Schleich. ex Schwägr.) J.R.Spence"
"Riccia","Riccia bifurca","Hoffm.","Riccia bifurca","Hoffm."
"Grimmia","Grimmia anomala","Hampe ex Schimp.","Grimmia anomala","Hampe ex Schimp."
"Fuscocephaloziopsis","Fuscocephaloziopsis pleniceps","(Austin) Váňa & L.Söderstr.","Fuscocephaloziopsis pleniceps","(Austin) Váňa & L.Söderstr."
"Peltolepis","Peltolepis quadrata","(Saut.) Müll.Frib.","Peltolepis grandis","(Lindb.) Lindb."
"Alobiella","Alobiella husnotii","(Spruce) Schiffn.","Alobiella husnotii","(Spruce) Schiffn."
"Dicranum","Dicranum majus var. majus","","Dicranum majus var. majus",""
"Weissia","Weissia jamaicensis","(Mitt.) Grout","Trichostomum jamaicense","(Mitt.) A.Jaeger"
"Bazzania","Bazzania bidens","(Gottsche & Lindenb.) Trevis.","Bazzania bidens","(Gottsche & Lindenb.) Trevis."
"Achrophyllum","Achrophyllum magellanicum","(Besch.) Matteri","Achrophyllum magellanicum","(Besch.) Matteri"
"Atrichum","Atrichum angustatum","(Brid.) Bruch & Schimp.","Atrichum xanthopelma","(Müll.Hal.) A.Jaeger"
"Hygroamblystegium","Hygroamblystegium fluviatile","(Hedw.) Loeske","Amblystegium fluviatile","(Hedw.) Schimp."
"Notothylas","Notothylas orbicularis","(Schwein.) Sull.","Notothylas orbicularis","(Schwein.) Sull. ex A.Gray"
"Metzgeria","Metzgeria divaricata","A.Evans","Metzgeria divaricata","A.Evans"
"Metzgeria","Metzgeria rigida","Lindb.","Metzgeria rigida","Lindb."
"Plagiochila","Plagiochila nobilis","Gottsche","Plagiochila nobilis","Gottsche"
"Anoectangium","Anoectangium bellii","Broth. ex Dixon","Anoectangium bellii","Broth. ex Dixon"
"Bryum","Bryum capillatum","Vill. ex Brid.","Bryum capillatum","Vill. ex Brid."
"Orthotrichum","Orthotrichum euryphyllum","Venturi","Orthotrichum epapillosum","E.Lawton & F.J.Herm."
"Bryum","Bryum insolitum","Cardot","Bryum insolitum","Cardot"
"Colura","Colura corynophora","(Nees, Lindenb. & Gottsche) Trevis.","Colura corynophora","(Nees, Lindenb. & Gottsche) Trevis."
"Meteorium","Meteorium buchananii ssp. helminthocladulum","(Cardot) Nog.","Meteorium buchananii ssp. helminthocladulum","(Cardot) Nog."
"Pogonatum","Pogonatum belangeri","(Müll.Hal.) A.Jaeger","Pogonatum belangeri","(Müll.Hal.) A.Jaeger"
"Diplasiolejeunea","Diplasiolejeunea pellucida","(C.F.W.Meissn. ex Spreng.) Schiffn.","Diplasiolejeunea pellucida","(C.F.W.Meissn. ex Spreng.) Schiffn."
"Chiastocaulon","Chiastocaulon mayebarae","(S.Hatt.) S.D.F.Patzak, M.A.M.Renner, Schäf.-Verw. & Heinrichs","Chiastocaulon mayebarae","(S.Hatt.) S.D.F.Patzak, M.A.M.Renner, Schäf.-Verw. & Heinrichs"
"Kurzia","Kurzia capillaris","(Sw.) Grolle","Kurzia capillaris","(Sw.) Grolle"
"Taxithelium","Taxithelium damanhurianum","P.E.A.S.Câmara","Taxithelium damanhurianum","P.E.A.S.Câmara"
"Cololejeunea","Cololejeunea gracilis","(Jovet-Ast) Pócs","Cololejeunea gracilis","(Jovet-Ast) Pócs"
"Schistidium","Schistidium elegantulum ssp. elegantulum","","Schistidium elegantulum ssp. elegantulum",""
"Stenodictyon","Stenodictyon ovatum","B.H.Allen","Stenodictyon ovatum","B.H.Allen"
"Radula","Radula yanoella","R.M.Schust.","Radula yanoella","R.M.Schust."
"Riccardia","Riccardia saccatiflora","(Steph.) S.W.Arnell","Riccardia saccatiflora","(Steph.) S.W.Arnell"
"Blepharostoma","Blepharostoma minor","Horik.","Blepharostoma minor","Horik."
"Gertrudiella","Gertrudiella uncinicoma var. serratopungens","(Herzog) G.M.Suárez & Schiavone","Gertrudiella uncinicoma var. serratopungens","(Herzog) G.M.Suárez & Schiavone"
"Cyclodictyon","Cyclodictyon regnellii","(Müll.Hal. ex Ångstr.) Kuntze","Cyclodictyon regnellii","(Müll.Hal. ex Ångstr.) Kuntze"
"Cheilolejeunea","Cheilolejeunea norisiae","G.Dauphin & Gradst.","Cheilolejeunea norisiae","G.Dauphin & Gradst."
"Syntrichia","Syntrichia caninervis var. astrakhanica","Ignatov, Ignatova & Suragina","Syntrichia caninervis var. astrakhanica","Ignatov, Ignatova & Suragina"
"Entodon","Entodon myurus","(Hook.) Hampe","Entodon myurus","(Hook.) Hampe"
"Taxithelium","Taxithelium leptopunctatum","Broth.","Taxithelium leptopunctatum","Broth."
"Lewinskya","Lewinskya affinis","(Brid.) F.Lara, Garilleti & Goffinet","Orthotrichum alpestre","Wilson"
"Harpalejeunea","Harpalejeunea molleri ssp. molleri","","Harpalejeunea molleri ssp. molleri",""
"Hypnum","Hypnum richardsoni","Holzinger, 1903","Hypnum richardsoni","Holzinger, 1903"
"Mniobryum","Mniobryum rubrum","Dixon","Mniobryum rubrum","Dixon"
"Staplinisporites","Staplinisporites caminus","(Balme) S.A.J.Pocock","Staplinisporites caminus","(Balme) S.A.J.Pocock"
"Pseudohygrohypnum","Pseudohygrohypnum purpurascens","(Broth.) Kanda","Pseudohygrohypnum purpurascens","(Broth.) Kanda"
"Frullania","Frullania microscopica","Pearson","Frullania microscopica","Pearson"
"Drepanolejeunea","Drepanolejeunea longirostris","(Spruce) Steph.","Drepanolejeunea longirostris","(Spruce) Steph."
"Marsupella","Marsupella ramosa","K.Müller","Marsupella ramosa","K.Müller"
"Plagiochila","Plagiochila caespitiosa","Colenso","Plagiochila caespitiosa","Colenso"
"Frullania","Frullania elephantum","S.Hatt.","Frullania elephantum","S.Hatt."
"Leucoloma","Leucoloma boivinianum","Besch.","Leucoloma boivinianum","Besch."
"Drepanolejeunea","Drepanolejeunea fleischeri","(Steph.) Grolle & R.L.Zhu","Drepanolejeunea fleischeri","(Steph.) Grolle & R.L.Zhu"
"Calypogeia","Calypogeia falcata","Bischl.","Calypogeia falcata","Bischl."
"Cheilolejeunea","Cheilolejeunea fulva","(R.M.Schust.) M.Wigginton & J.Bryol.","Cheilolejeunea fulva","(R.M.Schust.) M.Wigginton & J.Bryol."
"Rhynchostegiella","Rhynchostegiella azorica","Hedenäs & Vanderp.","Rhynchostegiella azorica","Hedenäs & Vanderp."
"Mastigobryum","Mastigobryum multidens","Steph.","Mastigobryum multidens","Steph."
"Frullania","Frullania rigida","Steph.","Frullania rigida","Steph."
"Frullania","Frullania durifolia","Steph.","Frullania durifolia","Steph."
"Brymela","Brymela complanata","B.H.Allen","Brymela complanata","B.H.Allen"
"Callicostella","Callicostella spuriopallida","(Müll.Hal. ex Broth.) Broth.","Callicostella spuriopallida","(Müll.Hal. ex Broth.) Broth."
"Solenostoma","Solenostoma tuberculiferum","(Herzog) Váňa, Hentschel & Heinrichs","Solenostoma tuberculiferum","(Herzog) Váňa, Hentschel & Heinrichs"
