"acgenus","actaxon","acauth","taxon","auth"
"Entosthodon","Entosthodon bergianus","(Hornsch.) Müll.Hal.","Entosthodon bergianus","(Hornsch.) Müll.Hal."
"Lepidopilidium","Lepidopilidium furcatum","(Thwaites & Mitt.) Broth.","Lepidopilidium furcatum","(Thwaites & Mitt.) Broth."
"Haplodontium","Haplodontium tehamense","(Showers) J.R.Spence","Mielichhoferia tehamensis","Showers"
"Solenostoma","Solenostoma rubrum","(Gottsche ex Underw.) R.M.Schust.","Solenostoma rubrum","(Gottsche ex Underw.) R.M.Schust."
"Ectropothecium","Ectropothecium percomplanatum var. falcatum","Dixon","Ectropothecium percomplanatum var. falcatum","Dixon"
"Triandrophyllum","Triandrophyllum subtrifidum var. subtrifidum","","Triandrophyllum subtrifidum var. subtrifidum",""
"Herbertus","Herbertus oldfieldianus","(Steph.) Rodway","Herbertus oldfieldianus","(Steph.) Rodway"
"Cephalozia","Cephalozia crossii","Spruce","Cephalozia crossii","Spruce"
"Rhodobryum","Rhodobryum beyrichianum","(Hornsch.) Paris","Rhodobryum beyrichianum","(Hornsch.) Paris"
"Nowellia","Nowellia dominicensis","Steph.","Nowellia dominicensis","Steph."
"Neckera","Neckera bhutanensis","Nog.","Neckera bhutanensis","Nog."
"Calypogeia","Calypogeia densifolia","(Steph.) Steph.","Calypogeia densifolia","(Steph.) Steph."
"Phaeoceros","Phaeoceros bolusii","(Sim) S.W.Arnell","Phaeoceros bolusii","(Sim) S.W.Arnell"
"Riccia","Riccia rosea","O.H.Volk & Perold","Riccia rosea","O.H.Volk & Perold"
"Nogopterium","Nogopterium gracile","(Hedw.) Crosby & W.R.Buck","Grimmia gracilis","(Hedw.) F.Weber & D.Mohr"
"Lepidozia","Lepidozia filamentosa","(Lehm. & Lindenb.) Lehm. & Lindenb.","Lepidozia filamentosa","(Lehm. & Lindenb.) Gottsche et al."
"Orthotrichum","Orthotrichum comosum","F.Lara, R.Medina & Garilleti","Orthotrichum comosum","F.Lara, R.Medina & Garilleti"
"Jungermannia","Jungermannia amakawana","Ajit P.Singh & Vir.Nath","Jungermannia amakawana","Ajit P.Singh & Vir.Nath"
"Platygyrium","Platygyrium russulum","(Mitt.) A.Jaeger","Platygyrium russulum","(Mitt.) A.Jaeger"
"Entosthodon","Entosthodon subnudus var. phymatodeus","(Catches.) Fife & Seppelt","Entosthodon subnudus var. phymatodeus","(Catches.) Fife & Seppelt"
