"ELEMENT_GLOBAL_ID","REFERENCE_ID"
689334,195997
685786,184460
685786,194666
685428,181797
684746,646797
685747,178198
685747,189276
685747,194660
685747,196203
685747,957909
689218,176422
689218,621271
689218,649735
685291,190544
685291,199222
684635,186920
684635,198159
686013,178774
686013,182314
686013,199164
686013,792456
686013,943946
689778,187315
689778,190544
689778,199046
689778,645800
687870,182827
683095,620627
683095,667321
683095,667764
686941,190544
685266,642312
684225,188295
683078,181492
684918,211966
686054,184460
685638,181797
687795,181797
686016,646797
684183,181815
684183,190544
684183,650542
686655,182160
684723,181797
684723,201820
688393,181852
688393,201820
687729,181797
683619,478087
685408,201319
685408,510185
689537,510185
687986,185116
687987,181797
683967,199468
685584,184460
687481,184460
688445,183959
684293,820420
684906,667690
688798,671250
688798,671253
688798,671259
688798,758351
688868,185675
688868,199067
686653,473037
686653,646797
685063,473037
687658,184573
685260,185640
688590,182970
688001,201344
687532,671250
687332,184460
687332,478087
686499,182731
686499,198274
686499,646797
686499,722175
685907,188434
688074,181160
684115,190544
689977,194106
684499,195278
684499,1006898
686730,195204
685539,722044
689131,667690
689033,642312
684548,642312
684765,199222
684125,176422
684125,646792
684125,722044
684125,792456
683270,757835
684551,181797
684551,193529
686104,184460
686968,181797
684775,377436
687726,650542
688416,200351
688417,197964
687265,659486
685444,377436
683506,757835
684830,473036
684830,757988
684412,182818
684412,192558
684412,477774
687841,179895
685222,620627
685222,943946
686180,182647
688077,477443
688077,642231
688163,181492
685978,182818
685978,199046
689277,199855
689277,201564
685489,645700
685489,707500
686756,181492
686756,190173
689399,180171
686513,196203
683465,182100
689702,187524
687059,188295
686030,184460
686030,340401
686030,712633
684042,185116
688399,188295
685197,185903
685197,646797
689960,181492
684541,181492
688098,181492
683740,659449
689876,180787
689876,200273
689876,656662
689876,657055
688113,179923
688113,181171
685304,505286
685625,185239
685625,201087
685625,792456
687989,181852
684083,186670
686902,181797
686778,193463
689640,181873
688408,722175
688140,667690
686536,642385
683279,667690
689995,181492
687969,646797
689512,176422
689512,198211
689512,266596
686917,176422
686917,477774
687362,181797
687362,646797
687104,185608
687104,513768
684040,181492
688224,182799
683471,178758
683471,182669
684361,190360
686397,760934
683548,190544
689078,190360
689078,1009349
687849,181797
687849,184460
687849,1009324
685875,187426
685875,198303
688466,183997
688466,200389
688466,712642
689752,620627
690100,342646
689694,181492
689694,198203
689077,1009323
689077,1009337
689400,177224
689400,181932
689400,185116
689400,478087
684488,184460
684488,1009354
687360,183997
688168,712642
685983,190360
685983,200390
689875,176138
689875,186764
685383,184460
683248,184695
683248,201820
684927,181797
684927,184460
684927,830014
686382,181797
686382,184460
686259,667322
688977,181797
686383,181950
686383,183891
686383,186438
686383,187315
686383,190042
686383,199240
686383,201539
686383,1009323
686383,1009351
685440,994680
688358,196309
688820,646797
689211,183636
689211,201539
684645,181950
684645,184460
684645,200873
688363,181797
688363,194646
688363,342646
688752,180719
688752,478087
684939,192987
686269,183488
686269,1006893
685714,662455
685714,667322
687395,342646
687591,184460
687591,186282
685458,211972
687878,671250
689125,671250
688941,182970
688941,185204
688941,188471
688941,191569
687096,181492
683311,189436
683311,197092
683311,712632
689849,184460
687586,181797
687586,188295
684577,185116
684577,510185
685053,182970
685053,510185
686531,189173
685394,181492
685394,190253
685394,194660
684777,201678
689974,707496
683191,182314
683191,201888
683191,707490
683191,957846
687926,177120
687926,186131
687926,667968
684949,176422
684949,182314
686779,188548
685888,758488
687759,667690
690071,178492
690071,185144
685503,667690
688702,667690
685155,642387
687198,667690
689137,820419
688526,1006892
685486,182100
685486,189259
685486,190731
685486,198211
685486,646792
686714,642312
688309,667690
683672,185782
683144,181492
683144,667216
689691,668151
685676,707495
685783,189874
689533,340416
685569,192574
685569,505300
688015,178045
688015,180014
688015,190387
758060,184460
758060,464500
758060,659456
690012,181797
690012,478087
686243,180014
688407,184460
688407,198664
688407,342646
688427,189355
685938,187315
685938,194828
685938,198829
685938,820428
685938,1009323
687572,181797
687471,178045
687471,181797
687471,340416
688583,201226
685940,194828
685940,712642
684756,178774
684756,646784
684756,667764
690025,199164
690025,199222
684967,178774
684967,189117
684967,192047
684967,193052
684967,201618
689835,178774
689835,659460
689835,667764
690045,199046
690045,374772
687009,178224
687009,645800
683276,181502
683276,200873
688962,189198
687709,182283
687709,182314
687548,183919
683437,646792
688759,192588
688759,199046
688759,659460
684858,181797
684858,186807
684858,188189
689037,184664
689037,478087
689037,1009324
686921,194828
690077,189874
684903,184460
685674,194126
689430,189961
689430,191533
689430,194149
689430,194861
689430,197031
689430,198284
689430,199585
689430,200458
689577,199987
684832,179222
684832,722044
689885,195802
689885,645701
689885,792456
687398,175890
687398,468699
683985,186267
683584,287719
686595,176422
685090,193115
686607,192736
688231,181797
942438,188653
942438,199829
942438,310942
689626,182397
689626,184460
687644,200749
685975,177052
685975,188821
688238,179190
688238,181873
689949,181797
687334,187315
687811,181797
687811,200749
687811,342646
687234,179190
687234,184460
687234,505319
687234,671267
683838,181797
688072,197005
684122,176170
684122,181797
684123,671251
684942,478087
684942,1009323
