"ELEMENT_GLOBAL_ID","PREDECESSOR_ID","predecessorCode","predecessorName","predecessorSciName","predecessorColloquialName","lineageDate","lineageNote","lineageAuthorizedBy"
979503,684893,"CEGL000421","Pseudotsuga menziesii - Arbutus menziesii / Gaultheria shallon Forest","<i>Pseudotsuga menziesii - Arbutus menziesii / Gaultheria shallon</i> Forest","",2017-01-17 12:00:00,"","Coastal Correlation"
686562,948017,"CEGL005608","Pseudoroegneria spicata - Poa secunda - Balsamorhiza sagittata Grassland","<i>Pseudoroegneria spicata - Poa secunda - Balsamorhiza sagittata</i> Grassland","",2017-03-07 12:00:00,"CEGL005608 merged into CEGL001662","M. Reid"
942421,685172,"CEGL000100","Tsuga heterophylla / Gaultheria shallon Forest","<i>Tsuga heterophylla / Gaultheria shallon</i> Forest","Western Hemlock / Salal",2017-01-31 12:00:00,"CEGL000100 split into CEGL002778 (PNWCOAST_272) (BC, WA), CEGL007333 (PNWCOAST_183) (WA), CEGL007301 (PNWCOAST_222) (WA) &amp; CEGL005549 (PNWCOAST_221-234) (WA) &amp; split/lumped into CEGL005536 (PNWCOAST_182) (BC, OR, WA) &amp; CEGL005539 (PNWCOAST_186) (BC, CA, OR, WA)","Coastal Correlation"
979448,685172,"CEGL000100","Tsuga heterophylla / Gaultheria shallon Forest","<i>Tsuga heterophylla / Gaultheria shallon</i> Forest","Western Hemlock / Salal",2017-01-12 12:00:00,"CEGL000100 split into CEGL002778 (PNWCOAST_272) (BC, WA), CEGL007333 (PNWCOAST_183) (WA), CEGL007301 (PNWCOAST_222) (WA) &amp; CEGL005549 (PNWCOAST_221-234) (WA) &amp; split/lumped into CEGL005536 (PNWCOAST_182) (BC, OR, WA) &amp; CEGL005539 (PNWCOAST_186) (BC, CA, OR, WA)","Coastal Correlation"
979506,685172,"CEGL000100","Tsuga heterophylla / Gaultheria shallon Forest","<i>Tsuga heterophylla / Gaultheria shallon</i> Forest","Western Hemlock / Salal",2017-01-12 12:00:00,"CEGL000100 split into CEGL002778 (PNWCOAST_272) (BC, WA), CEGL007333 (PNWCOAST_183) (WA), CEGL007301 (PNWCOAST_222) (WA) &amp; CEGL005549 (PNWCOAST_221-234) (WA) &amp; split/lumped into CEGL005536 (PNWCOAST_182) (BC, OR, WA) &amp; CEGL005539 (PNWCOAST_186) (BC, CA, OR, WA)","Coastal Correlation"
942447,685172,"CEGL000100","Tsuga heterophylla / Gaultheria shallon Forest","<i>Tsuga heterophylla / Gaultheria shallon</i> Forest","Western Hemlock / Salal",2017-01-31 12:00:00,"CEGL000100 split into CEGL002778 (PNWCOAST_272) (BC, WA), CEGL007333 (PNWCOAST_183) (WA), CEGL007301 (PNWCOAST_222) (WA) &amp; CEGL005549 (PNWCOAST_221-234) (WA) &amp; split/lumped into CEGL005536 (PNWCOAST_182) (BC, OR, WA) &amp; CEGL005539 (PNWCOAST_186) (BC, CA, OR, WA)","Coastal Correlation"
942458,685172,"CEGL000100","Tsuga heterophylla / Gaultheria shallon Forest","<i>Tsuga heterophylla / Gaultheria shallon</i> Forest","Western Hemlock / Salal",2017-01-12 12:00:00,"CEGL000100 split into CEGL002778 (PNWCOAST_272) (BC, WA), CEGL007333 (PNWCOAST_183) (WA), CEGL007301 (PNWCOAST_222) (WA) &amp; CEGL005549 (PNWCOAST_221-234) (WA) &amp; split/lumped into CEGL005536 (PNWCOAST_182) (BC, OR, WA) &amp; CEGL005539 (PNWCOAST_186) (BC, CA, OR, WA)","Coastal Correlation"
686178,686247,"CEGL001844","Scirpus tabernaemontani - Typha latifolia Herbaceous Vegetation","<i>Scirpus tabernaemontani - Typha latifolia</i> Herbaceous Vegetation","",2016-11-01 12:00:00,"CEGL001844 split/lumped into CEGL002623 (Scirpus portion) (AB, BC, CA, CO, ID, MT, OR, WA, WY) &amp; CEGL002010 (Typha portion) (AB, AZ, BC, CA, CO, ID, MT, NE, NM, NV, OR, UT, WA, WY)",""
979555,686015,"CEGL003208","Tsuga mertensiana - Chamaecyparis nootkatensis / Vaccinium ovalifolium Forest","<i>Tsuga mertensiana - Chamaecyparis nootkatensis / Vaccinium ovalifolium</i> Forest","",2017-02-03 12:00:00,"","Coastal Correlation"
979484,685417,"CEGL003223","Tsuga heterophylla - Thuja plicata / Vaccinium ovalifolium / Lysichiton americanus Swamp Forest","<i>Tsuga heterophylla - Thuja plicata / Vaccinium ovalifolium / Lysichiton americanus</i> Swamp Forest","",2017-01-31 12:00:00,"","Coastal Correlation"
979555,687294,"CEGL003218","Tsuga mertensiana - Tsuga heterophylla / Vaccinium ovalifolium Forest","<i>Tsuga mertensiana - Tsuga heterophylla / Vaccinium ovalifolium</i> Forest","",2017-02-03 12:00:00,"","Coastal Correlation"
979484,685964,"CEGL000223","Abies amabilis / Lysichiton americanus Swamp Forest","<i>Abies amabilis / Lysichiton americanus</i> Swamp Forest","",2017-01-17 12:00:00,"","Coastal Correlation"
1131907,686101,"CEGL002256","Carex lacustris Midwest Wet Meadow","<i>Carex lacustris</i> Midwest Wet Meadow","Midwest Lake Sedge Wet Meadow",2020-02-10 12:00:00,"NVC117 WV VA carex types: the WV portions of CEGL002256 and CEGL002257 were removed and used to create CEGL008287.","D. Faber-Langendoen"
1228073,686606,"CEGL003226","Tsuga heterophylla - Thuja plicata / Vaccinium ovalifolium - Gaultheria shallon / Lysichiton americanus Woodland","<i>Tsuga heterophylla - Thuja plicata / Vaccinium ovalifolium - Gaultheria shallon / Lysichiton americanus</i> Woodland","",2022-02-08 12:00:00,"NVC159","T. Ramm-Granberg"
685066,686869,"CEGL002190","Cephalanthus occidentalis / Carex spp. Midwest Shrub Swamp","<i>Cephalanthus occidentalis / Carex</i> spp. Midwest Shrub Swamp","Midwest Buttonbush Shrub Swamp",2019-02-12 12:00:00,"CEGL006069 (northeastern) was incorrectly subsumed as part of CEGL002190 (midwestern) for many years.","D. Faber-Langendoen"
979552,687467,"CEGL003211","Tsuga mertensiana - Chamaecyparis nootkatensis / Vaccinium ovalifolium - Gaultheria shallon Woodland","<i>Tsuga mertensiana - Chamaecyparis nootkatensis / Vaccinium ovalifolium - Gaultheria shallon</i> Woodland","",2017-02-02 12:00:00,"","Coastal Correlation"
979461,687720,"CEGL000059","Picea sitchensis / Polystichum munitum Forest","<i>Picea sitchensis / Polystichum munitum</i> Forest","",2017-01-13 12:00:00,"CEGL000059 split/lumped into CEGL003787 (derived from CEGL000059 &amp; CEGL000498) (BC, OR, WA) &amp; part with PSME into CEGL007308 (PNWCOAST_066) (OR, WA)","Coastal Correlation"
979445,687721,"CEGL000060","Picea sitchensis / Rubus spectabilis Riparian Forest","<i>Picea sitchensis / Rubus spectabilis</i> Riparian Forest","",2017-01-17 12:00:00,"CEGL000060 (part with PSME) split into CEGL007309 (PNWCOAST_067) (OR) &amp; CEGL007297 (PNWCOAST_317) (BC, OR, WA)","Coastal Correlation"
